Player #0, age: 36, active: true
Player #1, age: 39, active: true
Player #2, age: 23, active: true
Player #3, age: 40, active: true
Player #4, age: 22, active: true
Player #5, age: 36, active: false
Player #6, age: 26, active: false
Player #7, age: 23, active: false
Player #8, age: 26, active: true
Player #9, age: 22, active: false
Player #1, age: 29, active: false
Player #2, age: 26, active: true
Player #3, age: 23, active: false
Player #4, age: 38, active: false
Player #5, age: 35, active: true
Player #6, age: 30, active: true
Player #7, age: 23, active: true
Player #8, age: 39, active: false
Player #9, age: 40, active: false
Player #10, age: 35, active: true
Player #1, age: 29, active: true
Player #2, age: 30, active: true
Player #3, age: 28, active: true
Player #4, age: 22, active: false
Player #5, age: 40, active: true
Player #6, age: 22, active: false
Player #7, age: 20, active: true
Player #8, age: 35, active: false
Player #9, age: 34, active: true
Player #10, age: 29, active: false
